bike_serial,name,tablet_serial,app_vesion,batch_no
SN0146,Bike-146,TASPukR,2.6,Batch#003
SN0147,Bike-147,TARaB9I,2.6,Batch#003
SN0148,Bike-148,TAKEys5,2.7,Batch#003
SN0149,Bike-149,TAyW0RO,2.7,Batch#004
SN0150,Bike-150,TAlKxp8,2.6,Batch#003
SN0151,Bike-151,TA26c4Q,2.7,Batch#004
SN0152,Bike-152,TA3Vxh3,2.7,Batch#001
SN0153,Bike-153,TAAfAmZ,2.6,Batch#003
SN0154,Bike-154,TATwnuW,2.7,Batch#002
SN0155,Bike-155,TAMZN1P,2.7,Batch#003
SN0156,Bike-156,TAo59IR,2.6,Batch#002
SN0157,Bike-157,TAnIG2O,2.6,Batch#003
SN0158,Bike-158,TA9mz7n,2.7,Batch#004
SN0159,Bike-159,TAEmvgn,2.7,Batch#004
SN0160,Bike-160,TAJvSLB,2.7,Batch#004
SN0161,Bike-161,TAR4hpJ,2.6,Batch#004
SN0162,Bike-162,TAcDGt9,2.7,Batch#004
SN0163,Bike-163,TADHtbO,2.7,Batch#003
SN0164,Bike-164,TAuaukz,2.6,Batch#004
SN0165,Bike-165,TAaT7Ti,2.5,Batch#003
SN0166,Bike-166,TAIyVMD,2.6,Batch#004
SN0167,Bike-167,TAVcofD,2.7,Batch#004
SN0168,Bike-168,TAp9J6J,2.6,Batch#001
SN0169,Bike-169,TA2F8H8,2.6,Batch#001
SN0170,Bike-170,TAL7ul8,2.7,Batch#002
SN0171,Bike-171,TASX0X3,2.6,Batch#002
SN0172,Bike-172,TAhmjps,2.7,Batch#001
SN0173,Bike-173,TA8EqPh,2.5,Batch#004
SN0174,Bike-174,TAQfmkX,2.6,Batch#001
SN0175,Bike-175,TAY4V8d,2.6,Batch#003
SN0176,Bike-176,TAIyKvH,2.7,Batch#003
SN0177,Bike-177,TAbUyKK,2.7,Batch#004
SN0178,Bike-178,TAFthB7,2.6,Batch#004
SN0179,Bike-179,TAS1QdL,2.6,Batch#004
SN0180,Bike-180,TALyW4a,2.5,Batch#004
SN0181,Bike-181,TAlhSrc,2.7,Batch#004
SN0182,Bike-182,TASvjMd,2.7,Batch#003
SN0183,Bike-183,TAJffpx,2.7,Batch#001
SN0184,Bike-184,TAI2Wa0,2.7,Batch#004
SN0185,Bike-185,TAGOFZW,2.5,Batch#004
SN0186,Bike-186,TA2uz5Q,2.7,Batch#004
SN0187,Bike-187,TAVKUos,2.7,Batch#004
SN0188,Bike-188,TAiTJeO,2.7,Batch#001
SN0189,Bike-189,TAoOouB,2.6,Batch#001
SN0190,Bike-190,TAYdb4g,2.5,Batch#004
SN0191,Bike-191,TAW4Rzj,2.5,Batch#002
SN0192,Bike-192,TAgeELE,2.5,Batch#001
SN0193,Bike-193,TAQn3Wm,2.7,Batch#003
SN0194,Bike-194,TATGCgX,2.6,Batch#004
SN0195,Bike-195,TA9kn8r,2.7,Batch#001
SN0196,Bike-196,TASzsqm,2.7,Batch#004
SN0197,Bike-197,TAE2Cee,2.6,Batch#004
SN0198,Bike-198,TAp44Kb,2.7,Batch#004
SN0199,Bike-199,TA6eRQV,2.5,Batch#001
SN0200,Bike-200,TAxFQPl,2.5,Batch#004
SN0201,Bike-201,TAvpe9Z,2.7,Batch#002
SN0202,Bike-202,TA3u7xV,2.5,Batch#004
SN0203,Bike-203,TAQ249I,2.7,Batch#004
SN0204,Bike-204,TAPj2NB,2.7,Batch#004
SN0205,Bike-205,TA5S1pQ,2.7,Batch#002
SN0206,Bike-206,TAPu8D2,2.6,Batch#004
SN0207,Bike-207,TAKkKAc,2.6,Batch#002
SN0208,Bike-208,TAb9tUz,2.6,Batch#003
SN0209,Bike-209,TAsOIjr,2.6,Batch#003
SN0210,Bike-210,TAI0v7S,2.6,Batch#003
SN0211,Bike-211,TAqDr8J,2.7,Batch#004
SN0212,Bike-212,TA0NOWI,2.6,Batch#004
SN0213,Bike-213,TAYmeLB,2.6,Batch#003
SN0214,Bike-214,TAOSKKE,2.6,Batch#004
SN0215,Bike-215,TAOw5M5,2.5,Batch#003
SN0216,Bike-216,TAGZH5o,2.7,Batch#001
SN0217,Bike-217,TAKPDcK,2.7,Batch#004
SN0218,Bike-218,TAvpU9X,2.6,Batch#003
SN0219,Bike-219,TAIb5WL,2.6,Batch#001
SN0220,Bike-220,TAeHVGQ,2.6,Batch#003
SN0221,Bike-221,TAlSFQv,2.6,Batch#001
SN0222,Bike-222,TAQemGz,2.6,Batch#004
SN0223,Bike-223,TA4OZJ1,2.7,Batch#001
SN0224,Bike-224,TAW0xBT,2.5,Batch#002
SN0225,Bike-225,TAjByGM,2.7,Batch#004
SN0226,Bike-226,TASdARj,2.5,Batch#004
SN0227,Bike-227,TABkRgL,2.5,Batch#004
SN0228,Bike-228,TAEqmqi,2.7,Batch#001
SN0229,Bike-229,TANhNAH,2.6,Batch#004
SN0230,Bike-230,TA3bdhA,2.7,Batch#002
SN0231,Bike-231,TA1gXgs,2.7,Batch#003
SN0232,Bike-232,TAhzUCB,2.7,Batch#001
SN0233,Bike-233,TACwfWN,2.7,Batch#001
SN0234,Bike-234,TAu9IE0,2.6,Batch#001
SN0235,Bike-235,TAJNyUr,2.6,Batch#003
SN0236,Bike-236,TAHRkuH,2.7,Batch#003
SN0237,Bike-237,TAidDzF,2.5,Batch#002
SN0238,Bike-238,TAfs2Tp,2.5,Batch#003
SN0239,Bike-239,TAjQXjc,2.5,Batch#004
SN0240,Bike-240,TAJLV0n,2.6,Batch#004
SN0241,Bike-241,TAutpUE,2.7,Batch#001
SN0242,Bike-242,TA6DQKq,2.7,Batch#004
SN0243,Bike-243,TAP9eZy,2.6,Batch#002
SN0244,Bike-244,TA9HGbp,2.6,Batch#001
SN0245,Bike-245,TANxJ4z,2.5,Batch#002
SN0246,Bike-246,TAHC8Uo,2.7,Batch#003
SN0247,Bike-247,TAoIsEg,2.7,Batch#004
SN0248,Bike-248,TAhjTke,2.5,Batch#004
SN0249,Bike-249,TAIcoxR,2.7,Batch#001
